date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2020-12-13,AD,44,0,,,7382,79,,116224
2020-12-14,AD,32,0,,,7414,79,,
2020-12-15,AD,32,0,,,7446,79,,
2020-12-16,AD,20,0,,,7466,79,,
2020-12-17,AD,53,1,,,7519,80,,
2020-12-18,AD,41,0,,,7560,80,,
2020-12-19,AD,17,1,,,7577,81,,
2020-12-20,AD,25,0,,,7602,81,,120238
2020-12-21,AD,31,1,,,7633,82,,
2020-12-22,AD,36,0,,,7669,82,,
2020-12-23,AD,30,1,,,7699,83,,
2020-12-24,AD,57,0,,,7756,83,,
2020-12-25,AD,50,0,,,7806,83,,
2020-12-26,AD,15,0,,,7821,83,,
2020-12-27,AD,54,0,,,7875,83,,124804
2020-12-28,AD,44,1,,,7919,84,,
2020-12-29,AD,64,0,,,7983,84,,
2020-12-30,AD,66,0,,,8049,84,,
2020-12-31,AD,68,0,,,8117,84,,
2021-01-01,AD,49,0,,,8166,84,,
2021-01-02,AD,26,0,,,8192,84,,
2021-01-03,AD,57,0,,,8249,84,,127615
2021-01-04,AD,59,0,,,8308,84,,
2021-01-05,AD,40,0,,,8348,84,,
2021-01-06,AD,0,0,,,8348,84,,
2021-01-07,AD,141,0,,,8489,84,,
2021-01-08,AD,97,1,,,8586,85,,
2021-01-09,AD,0,0,,,8586,85,,
2021-01-10,AD,96,1,,,8682,86,,130664
2021-01-11,AD,63,1,,,8745,87,,
2021-01-12,AD,73,0,,,8818,87,,
2021-01-13,AD,50,1,,,8868,88,,
2021-01-14,AD,78,0,,,8946,88,,
2021-01-15,AD,92,3,,,9038,91,,
2021-01-16,AD,0,0,,,9038,91,,
2021-01-17,AD,45,0,,,9083,91,,134259
2021-01-18,AD,111,1,,,9194,92,,
2021-01-19,AD,114,0,,,9308,92,,
2021-01-20,AD,71,1,,,9379,93,,
2021-01-21,AD,37,0,,,9416,93,,
2021-01-22,AD,83,3,,,9499,96,,
2021-01-23,AD,50,0,,,9549,96,,
2021-01-24,AD,47,1,,,9596,97,,140711
2021-01-25,AD,42,0,,,9638,97,,
2021-01-26,AD,78,1,,,9716,98,,
2021-01-27,AD,63,2,,,9779,100,,
2021-01-28,AD,58,0,,,9837,100,,
2021-01-29,AD,48,1,,,9885,101,,
2021-01-30,AD,52,0,,,9937,101,,
2021-01-31,AD,35,0,,,9972,101,,144987
2021-02-01,AD,45,1,,,10017,102,,
2021-02-02,AD,53,1,,,10070,103,,
2021-02-03,AD,67,0,,,10137,103,,
2021-02-04,AD,35,1,,,10172,104,,
2021-02-05,AD,34,1,,,10206,105,,
2021-02-06,AD,45,1,,,10251,106,,
2021-02-07,AD,24,0,,,10275,106,,148604
2021-02-08,AD,37,0,,,10312,106,,
2021-02-09,AD,40,0,,,10352,106,,
2021-02-10,AD,39,0,,,10391,106,,
2021-02-11,AD,36,0,,,10427,106,,
2021-02-12,AD,36,1,,,10463,107,,
2021-02-13,AD,40,0,,,10503,107,,
2021-02-14,AD,35,0,,,10538,107,,152578
2021-02-15,AD,17,0,,,10555,107,,
2021-02-16,AD,28,0,,,10583,107,,
2021-02-17,AD,27,0,,,10610,107,,
2021-02-18,AD,35,0,,,10645,107,,
2021-02-19,AD,27,0,,,10672,107,,
2021-02-20,AD,27,0,,,10699,107,,
2021-02-21,AD,13,2,,,10712,109,,154962
2021-02-22,AD,27,1,,,10739,110,,
2021-02-23,AD,36,0,,,10775,110,,
2021-02-24,AD,24,0,,,10799,110,,
2021-02-25,AD,23,0,,,10822,110,,
2021-02-26,AD,27,0,,,10849,110,,
2021-02-27,AD,17,0,,,10866,110,,
2021-02-28,AD,23,0,,,10889,110,,157356
2021-03-01,AD,19,0,,,10908,110,,
2021-03-02,AD,40,2,,,10948,112,,
2021-03-03,AD,28,0,,,10976,112,,
2021-03-04,AD,22,0,,,10998,112,,
2021-03-05,AD,21,0,,,11019,112,,
2021-03-06,AD,23,0,,,11042,112,,
2021-03-07,AD,27,0,,,11069,112,,159725
2021-03-08,AD,20,0,,,11089,112,,
